codigo_fez,carater_fez,creditos_fez,codigo_obtem,carater_obtem,creditos_obtem,nome_regra,nome_fez,nome_obtem,tipo_regra
ENG10055,Eletiva,4.0,eng10055,Eletiva,4.0,ENG10055=eng10055,SISTEMAS DE TEMPO REAL - I,SISTEMAS DE TEMPO REAL - I,mapeamento direto
INF05009,Eletiva,4.0,inf05009,Eletiva,4.0,INF05009=inf05009,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,mapeamento direto
INF01054,Eletiva,4.0,inf01054,Eletiva,4.0,INF01054=inf01054,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,mapeamento direto
INF01055,Eletiva,4.0,inf01055,Eletiva,4.0,INF01055=inf01055,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,mapeamento direto
INF01063,Eletiva,4.0,inf01063,Eletiva,4.0,INF01063=inf01063,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,mapeamento direto
INF05013,Eletiva,4.0,inf05013,Eletiva,4.0,INF05013=inf05013,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,mapeamento direto
ENG10057,Eletiva,4.0,eng10057,Eletiva,4.0,ENG10057=eng10057,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IX,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IX,mapeamento direto
ENG10056,Eletiva,2.0,eng10056,Eletiva,2.0,ENG10056=eng10056,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VIII,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VIII,mapeamento direto
ENG10058,Eletiva,6.0,eng10058,Eletiva,6.0,ENG10058=eng10058,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO X,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO X,mapeamento direto
ENG04038,Eletiva,6.0,eng04038,Eletiva,6.0,ENG04038=eng04038,ELETRÔNICA III,ELETRÔNICA III,mapeamento direto
ENG04065,Eletiva,4.0,eng04065,Eletiva,4.0,ENG04065=eng04065,PROJETO DE SISTEMAS ANALÓGICOS E MISTOS INTEGRADOS,PROJETO DE SISTEMAS ANALÓGICOS E MISTOS INTEGRADOS,mapeamento direto
ENG04064,Eletiva,4.0,eng04064,Eletiva,4.0,ENG04064=eng04064,PROJETO DE SISTEMAS DE RF INTEGRADOS,PROJETO DE SISTEMAS DE RF INTEGRADOS,mapeamento direto
ENG10054,Eletiva,4.0,eng10054,Eletiva,4.0,ENG10054=eng10054,ROBÓTICA MÓVEL,ROBÓTICA MÓVEL,mapeamento direto
ENG04077,Obrigatória,6.0,eng04077,Obrigatória,6.0,ENG04077=eng04077,CIRCUITOS ELETRÔNICOS I,CIRCUITOS ELETRÔNICOS I,mapeamento direto
