codigo_fez,carater_fez,creditos_fez,codigo_obtem,carater_obtem,creditos_obtem,nome_regra,nome_fez,nome_obtem,tipo_regra
LET02720,Eletiva,4,IIpPdDI,Eletiva,4,LET02720=IIpPdDI,Inglês Instrumental Para Processamento de Dados I,Ingles Instrumental Para Processamento de Dados I,mapeamento direto
MAT01032,Obrigatória,4,CC,Obrigatória,4,MAT01032=CC,Cálculo Numérico A,Computação Científica,mapeamento não direto
MAT01353,Obrigatória,6,Calc1,Obrigatória,6,MAT01353=Calc1,Cálculo e Geometria Analítica I - A,Cálculo e Geometria Analítica I - A,mapeamento direto
MAT01354,Obrigatória,6,Calc2,Obrigatória,6,MAT01354=Calc2,Cálculo e Geometria Analítica II - A,Cálculo e Geometria Analítica II - A,mapeamento direto
MAT01355,Obrigatória,4,AlgLin,Obrigatória,4,MAT01355=AlgLin,Algebra Linear I - A,Álgebra Linear,mapeamento direto
MAT01375,Obrigatória,4,MatDisc,Obrigatória,4,MAT01375=MatDisc,Matemática Discreta B,Matemática Discreta,mapeamento direto
MAT02219,Obrigatória,4,ProbEst,Obrigatória,4,MAT02219=ProbEst,Probabilidade e Estatística,Probabilidade e Estatística,mapeamento direto
Temp-4,Eletiva,0,ProjCI,Obrigatória,8,Temp-4=ProjCI,Ingresso Até Temp-4,Projeto em Ciência e Inovação,temporalidade
Temp-5,Eletiva,0,ML,Obrigatória,4,Temp-5=ML,Ingresso Até Temp-5,Aprendizado de Máquina,temporalidade
Temp-5,Eletiva,0,ProgPar,Obrigatória,4,Temp-5=ProgPar,Ingresso Até Temp-5,Programação Paralela,temporalidade
Temp-6,Eletiva,0,Seg,Obrigatória,4,Temp-6=Seg,Ingresso Até Temp-6,Segurança de Sistemas e da Informação,temporalidade
Temp-6,Eletiva,0,PLN,Obrigatória,4,Temp-6=PLN,Ingresso Até Temp-6,Processamento de Linguagem Natural,temporalidade
Temp-7,Eletiva,0,ProjInt,Obrigatória,8,Temp-7=ProjInt,Ingresso Até Temp-7,Projeto Integrador,temporalidade
VAERE201,Eletiva,0,VAEREUm,Eletiva,0,VAERE201=VAEREUm,Vínculo Acadêmico - Ere 2020/1,Vinculo Academico - Ere 2020/1,mapeamento direto
VAERE202,Eletiva,0,VAEREDois,Eletiva,0,VAERE202=VAEREDois,Vínculo Acadêmico - Ere 2020/2,Vinculo Academico - Ere 2020/2,mapeamento direto
(INF01032 + QUI99009) + INF01022,Obrigatória e Eletiva respectivamente,4 + 4,ProjInt,Obrigatória,8,INF01032 + INF01022=ProjInt,(Empreendimento em Informática ou Introdução ao Empreendedorismo e Inovação) + Laboratório de Sistema de Software,Projeto Integrador,mudança de caráter
(INF01032 + QUI99009) + INF01019,Obrigatória e Eletiva respectivamente,4 + 4,ProjInt,Obrigatória,8,INF01032 + INF01019=ProjInt,(Empreendimento em Informática ou Introdução ao Empreendedorismo e Inovação) + Projeto em Computação Gráfica,Projeto Integrador,mudança de caráter
(INF01032 + QUI99009) + INF01006,Obrigatória e Eletiva respectivamente,4 + 4,ProjInt,Obrigatória,8,INF01032 + INF01006=ProjInt,(Empreendimento em Informática ou Introdução ao Empreendedorismo e Inovação) + Projeto de Banco de Dados,Projeto Integrador,mudança de caráter
(INF01032 + QUI99009) + INF01215,Obrigatória e Eletiva respectivamente,4 + 4,ProjInt,Obrigatória,8,INF01032 + INF01215=ProjInt,(Empreendimento em Informática ou Introdução ao Empreendedorismo e Inovação) + Métodos Ágeis,Projeto Integrador,mudança de caráter
