tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
mapeamento direto,Algebra Linear I - A,Obrigatória,4,Álgebra Linear,Obrigatória,4
mapeamento direto,Matemática Discreta B,Obrigatória,4,Matemática Discreta,Obrigatória,4
mapeamento direto,Probabilidade E Estatística,Obrigatória,4,Probabilidade E Estatística,Obrigatória,4
mapeamento direto,Vínculo Acadêmico - Ere 2020/1,Eletiva,0,Vinculo Academico - Ere 2020/1,Eletiva,0
mapeamento direto,Vínculo Acadêmico - Ere 2020/2,Eletiva,0,Vinculo Academico - Ere 2020/2,Eletiva,0
temporalidade,Ingresso Até Temp-4,Eletiva,0,Projeto Em Ciência E Inovação,Obrigatória,8
temporalidade,Ingresso Até Temp-5,Eletiva,0,Aprendizado De Máquina,Obrigatória,4
temporalidade,Ingresso Até Temp-5,Eletiva,0,Programação Paralela,Obrigatória,4
temporalidade,Ingresso Até Temp-6,Eletiva,0,Segurança De Sistemas E Da Informação,Obrigatória,4
temporalidade,Ingresso Até Temp-6,Eletiva,0,Processamento De Linguagem Natural,Obrigatória,4
temporalidade,Ingresso Até Temp-7,Eletiva,0,Projeto Integrador,Obrigatória,8
mapeamento não direto,Empreendimento Em Informática + Laboratório De Sistema De Software,Obrigatória e Eletiva respectivamente,4 + 4,Projeto Integrador,Obrigatória,8
mapeamento não direto,Empreendimento Em Informática + Projeto Em Computação Gráfica,Obrigatória e Eletiva respectivamente,4 + 4,Projeto Integrador,Obrigatória,8
mapeamento não direto,Empreendimento Em Informática + Projeto De Banco De Dados,Obrigatória e Eletiva respectivamente,4 + 4,Projeto Integrador,Obrigatória,8
mapeamento não direto,Empreendimento Em Informática + Métodos Ágeis,Obrigatória e Eletiva respectivamente,4 + 4,Projeto Integrador,Obrigatória,8
