tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO VIII,Eletiva,4
mapeamento direto,DESAFIOS DE PROGRAMAÇÃO,Eletiva,4,Desafios de Programacao,Eletiva,4
mapeamento não direto,CIRCUITOS DIGITAIS,Obrigatória,4,Circuitos Digitais,Obrigatória,6
mapeamento direto,SISTEMAS EMBARCADOS,Eletiva,4,Sistemas Embarcados,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVIII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XVIII,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XVII,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XVI,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XII,Eletiva,4
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XI,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO X,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO X,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXII,Eletiva,2
mapeamento direto,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXIII,Eletiva,2
