tipo_regra,nome_fez,carater_fez,creditos_fez,nome_obtem,carater_obtem,creditos_obtem
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XVII,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XVI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XVI,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XII,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XI,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO X,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO X,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXII,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXIII,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIV,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXIV,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXIX,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXIX,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXX,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXX,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXI,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXXI,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XXXII,Eletiva,2
,INTRODUÇÃO À ARQUITETURA DE COMPUTADORES,Obrigatória,4,Introdução à Ciência da Computação,Obrigatória,4
,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,Obrigatória,4,Arquitetura de Computadores,Obrigatória,4
,ORGANIZAÇÃO DE COMPUTADORES B,Obrigatória,4,Organização de Computadores,Obrigatória,4
,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,Obrigatória,4,Desenvolvimento de Software de Qualidade (ex-TCP),Obrigatória,4
,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO,Obrigatória,4,Modelos de Linguagem de Programacao,Eletiva,4
,ENGENHARIA DE SOFTWARE N,Obrigatória,4,Engenharia de Software,Obrigatória,4
,COMPUTADOR E SOCIEDADE,Eletiva,4,Computador e Sociedade,Eletiva,4
,SISTEMAS OPERACIONAIS I N,Obrigatória,4,Sistemas Operacionais,Obrigatória,4
,FUNDAMENTOS DE BANCO DE DADOS,Obrigatória,4,Fundamentos de Bancos de Dados,Obrigatória,4
,AVALIAÇÃO DE DESEMPENHO,Eletiva,4,Avaliacao de Desempenho,Eletiva,4
,COMPILADORES,Obrigatória,4,Linguagens de Programação II,Obrigatória,4
,SISTEMAS OPERACIONAIS II N,Obrigatória,4,Sistemas Distribuídos e Tolerantes a Falhas,Obrigatória,4
,REDES DE COMPUTADORES N,Obrigatória,6,Redes de Computadores,Obrigatória,4
,SISTEMAS DIGITAIS PARA COMPUTADORES A,Eletiva,4,Sistemas Digitais para Computadores A,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO I,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO I,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO II,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO II,Eletiva,2
,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,Eletiva,4,Concepcao de Circuitos Integrados I,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO III,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO III,Eletiva,2
,ARQUITETURAS AVANÇADAS DE COMPUTADORES,Eletiva,4,Arquiteturas Avancadas de Computadores,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IV,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO IV,Eletiva,2
,ALGORÍTMOS E PROGRAMAÇÃO - CIC,Obrigatória,6,Algoritmos e Programação,Obrigatória,6
,ESTRUTURAS DE DADOS,Obrigatória,4,Estruturas de Dados,Obrigatória,4
,CAD PARA SISTEMAS DIGITAIS,Eletiva,4,Cad para Sistemas Digitais,Eletiva,4
,FUNDAMENTOS DE TOLERÂNCIA A FALHAS,Obrigatória,4,Fundamentos de Tolerancia A Falhas,Eletiva,4
,FOTOGRAFIA COMPUTACIONAL,Eletiva,4,Fotografia Computacional,Eletiva,4
,TESTE DE SOFTWARE,Eletiva,4,Teste de Software,Eletiva,4
,MÉTODOS ÁGEIS,Eletiva,4,Metodos Ageis,Eletiva,4
,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,Eletiva,4,Modelagem e Gerenciamento de Processos de Negocio,Eletiva,4
,TENDÊNCIAS EM ENGENHARIA DE SOFTWARE,Eletiva,4,Tendencias em Engenharia de Software,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIII,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXXIII,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXIV,Eletiva,4,Processamento de Linguagem Natural,Obrigatória,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXV,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXXV,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXXVI,Eletiva,4,Processamento de Linguagem Natural,Obrigatória,4
,LABORATÓRIO DE PROGRAMAÇÃO EM LÓGICA,Eletiva,4,Laboratorio de Programacao em Logica,Eletiva,4
,TEORIA DA COMPUTAÇÃO DISTRIBUÍDA,Eletiva,4,Teoria da Computacao Distribuida,Eletiva,4
,INTELIGÊNCIA ARTIFICIAL AVANÇADA,Eletiva,4,Aprendizado de Máquina,Obrigatória,4
,INTELIGÊNCIA ARTIFICIAL AVANÇADA,Eletiva,4,Inteligencia Artificial Avancada,Eletiva,4
,LINGUAGENS FORMAIS E AUTÔMATOS N,Obrigatória,4,Teoria da Computação I - Linguagens Formais e Autômatos,Obrigatória,4
,CATEGORIAS COMPUTACIONAIS N,Eletiva,4,Categorias Computacionais N,Eletiva,4
,FUNDAMENTOS DE ALGORITMOS,Obrigatória,4,Pensamento Computacional,Obrigatória,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO IX,Eletiva,4
,OTIMIZAÇÃO COMBINATÓRIA,Obrigatória,4,Projeto e Análise de Algoritmos III,Obrigatória,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIII,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XIII,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIV,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XIV,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XV,Eletiva,4
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XIX,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XIX,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XX,Eletiva,2,TOPICOS ESPECIAIS EM COMPUTACAO XX,Eletiva,2
,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XXI,Eletiva,4,TOPICOS ESPECIAIS EM COMPUTACAO XXI,Eletiva,4
,BIOLOGIA COMPUTACIONAL,Eletiva,4,Biologia Computacional,Eletiva,4
